/usr/lib/jdk1.8.0_111/bin/java -Didea.launcher.port=7538 -Didea.launcher.bin.path=/home/centos/Downloads/idea-IC-163.10154.41/bin -Dfile.encoding=UTF-8 -classpath /usr/lib/jdk1.8.0_111/jre/lib/charsets.jar:/usr/lib/jdk1.8.0_111/jre/lib/deploy.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/cldrdata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/dnsns.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jaccess.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jfxrt.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/localedata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/nashorn.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunec.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunjce_provider.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunpkcs11.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/zipfs.jar:/usr/lib/jdk1.8.0_111/jre/lib/javaws.jar:/usr/lib/jdk1.8.0_111/jre/lib/jce.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfr.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfxswt.jar:/usr/lib/jdk1.8.0_111/jre/lib/jsse.jar:/usr/lib/jdk1.8.0_111/jre/lib/management-agent.jar:/usr/lib/jdk1.8.0_111/jre/lib/plugin.jar:/usr/lib/jdk1.8.0_111/jre/lib/resources.jar:/usr/lib/jdk1.8.0_111/jre/lib/rt.jar:/home/centos/IdeaProjects/Verk1/out/production/Verk1:/home/centos/.ivy2/cache/org.scala-lang/scala-library/jars/scala-library-2.12.1.jar:/home/centos/.ivy2/cache/org.scala-lang/scala-reflect/jars/scala-reflect-2.12.1.jar:/home/centos/Downloads/idea-IC-163.10154.41/lib/idea_rt.jar com.intellij.rt.execution.application.AppMain Main -s 1000 -e 100000 -n 3 -w 10000000 -i 500 -sm 3000
Parameters: S: 1000 , E: 100000 , N: 3 , W: 10000000 , I:500 , Sm: 3000
Resetting counter between each W random write operations
---------------------
---------------------
Testing writes by finger table
NetworkSize: 1001
95033: putCount 22129
95140: putCount 57254
95225: putCount 32194
95240: putCount 23745
95257: putCount 21924
95390: putCount 115105
95524: putCount 89181
95549: putCount 45207
95565: putCount 9815
95574: putCount 7641
95601: putCount 28937
95764: putCount 102217
95930: putCount 79050
96120: putCount 106516
96203: putCount 61031
96360: putCount 90172
96577: putCount 123635
96602: putCount 33810
96701: putCount 53934
96791: putCount 69396
96813: putCount 15268
96828: putCount 35990
96851: putCount 42662
96891: putCount 28941
96994: putCount 58892
97083: putCount 72767
97106: putCount 55788
97252: putCount 106589
97625: putCount 118820
97698: putCount 99185
97723: putCount 27813
97799: putCount 68289
97884: putCount 67257
98012: putCount 77112
98077: putCount 63104
98091: putCount 21712
98188: putCount 95400
98290: putCount 65751
98291: putCount 17835
98370: putCount 31333
98388: putCount 36317
98429: putCount 37185
98443: putCount 21199
98492: putCount 42193
98510: putCount 19506
98524: putCount 14497
98540: putCount 21017
98567: putCount 16471
98588: putCount 10857
98595: putCount 22400
98648: putCount 24655
98675: putCount 32884
98742: putCount 51724
98979: putCount 129014
99460: putCount 225132
99470: putCount 21527
99533: putCount 54773
99545: putCount 15945
99684: putCount 95078
99723: putCount 26592
99771: putCount 36202
99786: putCount 9487
99867: putCount 66833
99887: putCount 20470
99896: putCount 18360
99972: putCount 62226
28: putCount 43135
35: putCount 21787
247: putCount 128433
462: putCount 113899
487: putCount 51447
713: putCount 119255
732: putCount 12534
743: putCount 23140
806: putCount 40282
815: putCount 25681
965: putCount 88217
1060: putCount 48896
1127: putCount 53445
1141: putCount 26491
1259: putCount 97967
1268: putCount 41787
1577: putCount 200515
1629: putCount 43615
1795: putCount 99559
1824: putCount 27547
1838: putCount 36921
1861: putCount 6562
1890: putCount 25013
1934: putCount 49070
2011: putCount 54892
2021: putCount 25817
2156: putCount 99074
2158: putCount 11266
2169: putCount 27364
2327: putCount 118030
2380: putCount 28304
2504: putCount 87419
2515: putCount 27000
2535: putCount 20491
2560: putCount 35825
2569: putCount 23712
2576: putCount 24759
2720: putCount 83303
2736: putCount 10796
2742: putCount 11381
2751: putCount 13672
2779: putCount 34921
2849: putCount 56561
2926: putCount 38113
2933: putCount 34795
3004: putCount 50596
3035: putCount 41470
3108: putCount 48880
3121: putCount 17481
3136: putCount 22421
3226: putCount 50832
3298: putCount 44474
3316: putCount 21376
3323: putCount 11893
3337: putCount 23339
3400: putCount 40841
3459: putCount 31791
3491: putCount 10793
3549: putCount 76654
3759: putCount 153657
3776: putCount 23771
3787: putCount 11845
3796: putCount 24189
4023: putCount 100499
4062: putCount 51477
4154: putCount 40372
4178: putCount 31942
4372: putCount 134929
4552: putCount 97318
4600: putCount 33416
4685: putCount 60618
4686: putCount 4713
4732: putCount 26680
4796: putCount 73217
4831: putCount 48192
4832: putCount 44207
5177: putCount 143284
5214: putCount 24414
5225: putCount 14995
5245: putCount 20562
5370: putCount 77655
5389: putCount 30803
5442: putCount 54305
5488: putCount 39920
5499: putCount 14166
5573: putCount 28514
5725: putCount 89713
5791: putCount 24214
5810: putCount 38205
5814: putCount 7881
5890: putCount 58016
5917: putCount 44965
5921: putCount 23377
6029: putCount 55854
6064: putCount 20530
6148: putCount 57265
6231: putCount 53696
6367: putCount 63509
6415: putCount 75330
6438: putCount 42887
6503: putCount 61055
6731: putCount 116132
6774: putCount 43470
6902: putCount 84599
7054: putCount 73838
7265: putCount 143640
7269: putCount 18066
7348: putCount 48110
7372: putCount 4292
7391: putCount 18723
7422: putCount 42746
7442: putCount 12464
7482: putCount 46288
7510: putCount 47029
7772: putCount 129584
7849: putCount 48878
7862: putCount 42481
7964: putCount 61463
8024: putCount 32772
8067: putCount 43421
8077: putCount 6826
8090: putCount 8933
8119: putCount 23677
8128: putCount 8422
8185: putCount 39362
8207: putCount 25410
8285: putCount 75731
8287: putCount 3655
8322: putCount 31259
8339: putCount 8032
8347: putCount 7968
8352: putCount 28133
8530: putCount 99803
8630: putCount 66680
8636: putCount 12045
8644: putCount 19410
8650: putCount 28456
8743: putCount 44943
8855: putCount 64474
8884: putCount 25433
8965: putCount 64201
9023: putCount 41346
9117: putCount 70585
9165: putCount 37080
9168: putCount 2148
9185: putCount 27945
9349: putCount 117359
9374: putCount 29468
9420: putCount 35218
9431: putCount 7526
9456: putCount 23735
9525: putCount 63273
9600: putCount 39206
9704: putCount 54152
9727: putCount 12204
9827: putCount 74735
9897: putCount 53370
9902: putCount 7026
9968: putCount 48321
10031: putCount 68884
10065: putCount 27438
10067: putCount 18279
10149: putCount 54599
10323: putCount 91933
10383: putCount 51154
10472: putCount 59346
10506: putCount 16930
10516: putCount 31332
10517: putCount 17026
10584: putCount 85142
10767: putCount 101505
10853: putCount 84237
10905: putCount 32502
10958: putCount 34525
11013: putCount 39242
11087: putCount 53756
11105: putCount 21917
11115: putCount 32050
11307: putCount 87381
11351: putCount 32991
11415: putCount 89388
11464: putCount 17861
11497: putCount 35376
11539: putCount 52254
11560: putCount 28107
11680: putCount 54631
11718: putCount 35109
11783: putCount 49323
11800: putCount 28321
11807: putCount 9278
11894: putCount 77731
11930: putCount 49160
11951: putCount 42448
11969: putCount 33285
11979: putCount 28846
12146: putCount 87454
12206: putCount 68637
12501: putCount 144314
12820: putCount 147802
12848: putCount 45653
12863: putCount 18801
12939: putCount 70436
12941: putCount 24549
13173: putCount 143870
13278: putCount 55889
13373: putCount 74522
13420: putCount 31269
13436: putCount 31094
13578: putCount 95360
13656: putCount 56112
13834: putCount 70462
13846: putCount 27778
13866: putCount 28846
13882: putCount 31497
13891: putCount 23917
13990: putCount 72790
14076: putCount 55101
14241: putCount 110888
14365: putCount 52124
14486: putCount 56361
14557: putCount 87567
14613: putCount 64587
14620: putCount 16487
14666: putCount 15488
14728: putCount 47158
14733: putCount 13430
14749: putCount 21971
14823: putCount 45441
14860: putCount 14501
14863: putCount 28708
14898: putCount 58003
14990: putCount 54558
15040: putCount 38111
15160: putCount 80661
15270: putCount 62485
15273: putCount 17466
15446: putCount 82726
-----------------------
Put Finger alltogether: 73017902
X:1500
NetworkSize: 2001
15506: writeCount 23371
15555: writeCount 10859
15577: writeCount 10990
15662: writeCount 15455
15695: writeCount 14027
15702: writeCount 12902
15725: writeCount 6257
15870: writeCount 18001
15930: writeCount 22431
15999: writeCount 27159
16036: writeCount 16391
16041: writeCount 11929
16132: writeCount 13228
16140: writeCount 11044
16148: writeCount 10787
16208: writeCount 7741
16268: writeCount 12728
16410: writeCount 26315
16504: writeCount 29614
16579: writeCount 31316
16606: writeCount 19575
16640: writeCount 14157
16676: writeCount 9626
16803: writeCount 19683
16910: writeCount 27016
16995: writeCount 31947
17071: writeCount 26774
17110: writeCount 20807
17138: writeCount 14855
17204: writeCount 13812
17356: writeCount 24537
17364: writeCount 23276
17373: writeCount 18047
17385: writeCount 2999
17444: writeCount 8067
17471: writeCount 9774
17488: writeCount 10601
17503: writeCount 5858
17554: writeCount 8407
17649: writeCount 16196
17652: writeCount 15009
17658: writeCount 10828
17722: writeCount 7333
17727: writeCount 7577
18047: writeCount 38809
18105: writeCount 39572
18144: writeCount 41683
18198: writeCount 15242
18239: writeCount 13408
18440: writeCount 29764
18556: writeCount 37064
18652: writeCount 41444
18658: writeCount 21769
18868: writeCount 31323
18899: writeCount 26224
19026: writeCount 38514
19033: writeCount 17359
19386: writeCount 48659
19491: writeCount 46367
19507: writeCount 47278
19587: writeCount 19952
19639: writeCount 15436
19658: writeCount 15721
19676: writeCount 8811
19679: writeCount 4382
19720: writeCount 6742
19773: writeCount 10063
19809: writeCount 13094
19887: writeCount 16817
19925: writeCount 15268
19954: writeCount 14580
20128: writeCount 24228
20158: writeCount 23419
20165: writeCount 21161
20186: writeCount 5774
20238: writeCount 7897
20336: writeCount 17018
20343: writeCount 16085
20354: writeCount 11602
20359: writeCount 2373
20391: writeCount 4936
20440: writeCount 8689
20464: writeCount 10566
20487: writeCount 9619
20676: writeCount 24340
20753: writeCount 28960
20757: writeCount 27013
20780: writeCount 10397
20830: writeCount 7709
20839: writeCount 8231
20922: writeCount 14188
20950: writeCount 11921
20965: writeCount 12546
21011: writeCount 8940
21021: writeCount 7249
21148: writeCount 18424
21230: writeCount 22551
21251: writeCount 22929
21262: writeCount 11363
21268: writeCount 3876
21280: writeCount 3335
21289: writeCount 2759
21292: writeCount 2447
21322: writeCount 4280
21323: writeCount 3437
21368: writeCount 7615
21466: writeCount 14579
21511: writeCount 18909
21603: writeCount 23481
21610: writeCount 14218
21658: writeCount 14494
21676: writeCount 7233
21693: writeCount 8204
21720: writeCount 6470
21744: writeCount 6714
21750: writeCount 5623
21781: writeCount 5976
21887: writeCount 14183
21893: writeCount 14142
21986: writeCount 20443
22002: writeCount 11502
22192: writeCount 29931
22293: writeCount 30601
22412: writeCount 40804
22515: writeCount 32148
22517: writeCount 22328
22523: writeCount 11158
22567: writeCount 5256
22694: writeCount 17921
22708: writeCount 18667
22728: writeCount 16249
22758: writeCount 6358
23062: writeCount 35308
23085: writeCount 35584
23149: writeCount 39047
23166: writeCount 10481
23168: writeCount 8387
23286: writeCount 14413
23323: writeCount 15915
23336: writeCount 16981
23396: writeCount 11093
23469: writeCount 14709
23473: writeCount 14263
23494: writeCount 10186
23507: writeCount 4155
23745: writeCount 27812
23747: writeCount 25414
23757: writeCount 25111
23785: writeCount 3935
24158: writeCount 41294
24161: writeCount 40604
24358: writeCount 58882
24360: writeCount 20312
24456: writeCount 29556
24513: writeCount 15576
24583: writeCount 22310
24584: writeCount 12862
24600: writeCount 8673
24694: writeCount 11590
24703: writeCount 11987
24794: writeCount 19581
24890: writeCount 19668
24998: writeCount 30236
25054: writeCount 25765
25073: writeCount 18222
25080: writeCount 8120
25108: writeCount 5347
25158: writeCount 8730
25184: writeCount 10643
25227: writeCount 11937
25247: writeCount 8806
25271: writeCount 8581
25308: writeCount 7974
25353: writeCount 10778
25389: writeCount 11675
25404: writeCount 9509
25407: writeCount 5654
25472: writeCount 8296
25520: writeCount 11649
25522: writeCount 11521
25629: writeCount 15693
25632: writeCount 11136
25666: writeCount 14347
25715: writeCount 8631
25869: writeCount 23776
25998: writeCount 33357
26039: writeCount 33368
26171: writeCount 31309
26214: writeCount 21408
26270: writeCount 24348
26271: writeCount 9852
26478: writeCount 26439
26519: writeCount 25016
26588: writeCount 31773
26617: writeCount 13837
26620: writeCount 10400
26817: writeCount 22745
26820: writeCount 20782
26866: writeCount 24521
26969: writeCount 15231
26980: writeCount 16004
27036: writeCount 16970
27060: writeCount 9659
27129: writeCount 14894
27134: writeCount 9728
27228: writeCount 16810
27237: writeCount 10878
27257: writeCount 12407
27355: writeCount 12487
27436: writeCount 19610
27466: writeCount 20636
27514: writeCount 15964
27535: writeCount 10063
27561: writeCount 9554
27562: writeCount 4760
27598: writeCount 6275
27713: writeCount 14980
27730: writeCount 16556
27754: writeCount 15446
27909: writeCount 20485
28018: writeCount 28947
28160: writeCount 40678
28187: writeCount 27903
28210: writeCount 19339
28235: writeCount 7586
28253: writeCount 6629
28313: writeCount 10282
28360: writeCount 12432
28405: writeCount 15246
28411: writeCount 9844
28527: writeCount 17449
28535: writeCount 13192
28690: writeCount 29020
28734: writeCount 20813
28739: writeCount 20515
28742: writeCount 5774
28754: writeCount 2032
28777: writeCount 3813
28780: writeCount 3949
28790: writeCount 3572
28846: writeCount 6863
28908: writeCount 12802
28914: writeCount 12435
28940: writeCount 9523
29003: writeCount 9535
29015: writeCount 10449
29062: writeCount 12179
29090: writeCount 9185
29107: writeCount 9697
29201: writeCount 13976
29204: writeCount 11438
29308: writeCount 20092
29313: writeCount 11164
29359: writeCount 15329
29405: writeCount 9604
29457: writeCount 14772
29497: writeCount 13920
29618: writeCount 21457
29639: writeCount 18266
29733: writeCount 23778
29754: writeCount 14439
29812: writeCount 17387
29829: writeCount 9551
29865: writeCount 11526
29899: writeCount 8571
29945: writeCount 11451
29988: writeCount 12290
30010: writeCount 11078
30044: writeCount 10007
30480: writeCount 49493
30623: writeCount 61553
30796: writeCount 75418
30815: writeCount 33437
30885: writeCount 26208
30960: writeCount 16407
30976: writeCount 16163
31001: writeCount 12090
31014: writeCount 5386
31016: writeCount 3974
31034: writeCount 3249
31056: writeCount 4185
31078: writeCount 6389
31252: writeCount 21837
31341: writeCount 29434
31376: writeCount 30777
31452: writeCount 21101
31454: writeCount 11333
31514: writeCount 13936
31522: writeCount 7803
31526: writeCount 7252
31561: writeCount 4623
31648: writeCount 12773
31673: writeCount 14976
31693: writeCount 13149
31721: writeCount 7395
31757: writeCount 8471
31815: writeCount 12872
31831: writeCount 10940
31840: writeCount 8295
31946: writeCount 13651
32030: writeCount 19942
32048: writeCount 20790
32114: writeCount 17397
32138: writeCount 11348
32223: writeCount 17624
32307: writeCount 19321
32331: writeCount 20014
32352: writeCount 12829
32370: writeCount 6657
32401: writeCount 7065
32444: writeCount 9802
32447: writeCount 7701
32466: writeCount 6454
32517: writeCount 7107
32518: writeCount 6911
32553: writeCount 8502
32563: writeCount 4568
32589: writeCount 7105
32617: writeCount 6487
32635: writeCount 7324
32679: writeCount 9074
32705: writeCount 8765
32748: writeCount 11186
32915: writeCount 23394
32982: writeCount 27561
33000: writeCount 25086
33079: writeCount 16331
33133: writeCount 14880
33187: writeCount 18457
33193: writeCount 11755
33218: writeCount 8584
33257: writeCount 7348
33331: writeCount 13782
33374: writeCount 15547
33376: writeCount 11967
33425: writeCount 10008
33461: writeCount 8778
33640: writeCount 26565
33658: writeCount 23583
33681: writeCount 22247
33717: writeCount 7885
33733: writeCount 7551
33788: writeCount 10831
33832: writeCount 11666
33916: writeCount 18478
34068: writeCount 28929
34095: writeCount 27123
34146: writeCount 24009
34234: writeCount 16610
34309: writeCount 21355
34462: writeCount 31420
34564: writeCount 32846
34594: writeCount 28423
34606: writeCount 14373
34615: writeCount 5067
34627: writeCount 3291
34630: writeCount 2449
34679: writeCount 6360
34879: writeCount 25266
34914: writeCount 29300
34931: writeCount 25345
34996: writeCount 12550
35027: writeCount 11326
35078: writeCount 14703
35130: writeCount 13400
35144: writeCount 11644
35225: writeCount 14866
35275: writeCount 14784
35299: writeCount 15756
35372: writeCount 15369
35495: writeCount 21803
35512: writeCount 21733
35520: writeCount 14636
35693: writeCount 19847
35697: writeCount 18567
35733: writeCount 21260
35808: writeCount 11433
35875: writeCount 17805
35949: writeCount 21638
35972: writeCount 16464
35996: writeCount 12040
36051: writeCount 10606
36067: writeCount 9801
36072: writeCount 7614
36081: writeCount 2979
36092: writeCount 2465
36262: writeCount 18973
36322: writeCount 24927
36388: writeCount 29666
36397: writeCount 14406
36479: writeCount 15648
36497: writeCount 10910
36521: writeCount 12362
36535: writeCount 5884
36584: writeCount 8560
36805: writeCount 29089
36895: writeCount 36063
37008: writeCount 43479
37027: writeCount 22050
37038: writeCount 14090
37154: writeCount 15345
37222: writeCount 19820
37232: writeCount 19726
37278: writeCount 12546
37286: writeCount 6766
37358: writeCount 12498
37375: writeCount 9514
37453: writeCount 16924
37497: writeCount 13934
37559: writeCount 19096
37657: writeCount 20394
37680: writeCount 18124
37687: writeCount 12766
37717: writeCount 6513
37729: writeCount 4897
37790: writeCount 10142
37830: writeCount 11097
37833: writeCount 10156
37911: writeCount 12010
37966: writeCount 13572
37998: writeCount 16584
38011: writeCount 10553
38046: writeCount 8425
38070: writeCount 7849
38097: writeCount 8620
38197: writeCount 15092
38211: writeCount 14053
38254: writeCount 15674
38307: writeCount 11505
38363: writeCount 15076
38364: writeCount 10930
38496: writeCount 19416
38540: writeCount 17793
38567: writeCount 20437
38573: writeCount 8471
38588: writeCount 5038
38621: writeCount 5674
38649: writeCount 7730
38662: writeCount 7581
38776: writeCount 15658
38793: writeCount 15269
38997: writeCount 34656
39070: writeCount 29790
39257: writeCount 46871
39322: writeCount 32783
39436: writeCount 36778
39468: writeCount 21084
39547: writeCount 22392
39610: writeCount 17238
39612: writeCount 14238
39672: writeCount 12895
39757: writeCount 14575
39760: writeCount 15314
39779: writeCount 10896
39920: writeCount 16370
40080: writeCount 32873
40085: writeCount 31512
40180: writeCount 26146
40200: writeCount 12097
40307: writeCount 22240
40323: writeCount 14161
40349: writeCount 15114
40388: writeCount 8505
40425: writeCount 10146
40477: writeCount 13237
40482: writeCount 9407
40496: writeCount 7123
40526: writeCount 5365
40608: writeCount 12533
40617: writeCount 12056
40645: writeCount 11806
40646: writeCount 4138
40656: writeCount 4333
40707: writeCount 6140
40742: writeCount 9529
40772: writeCount 11907
40793: writeCount 8748
40864: writeCount 12787
40927: writeCount 15810
41019: writeCount 23366
41059: writeCount 19507
41227: writeCount 29896
41275: writeCount 25525
41435: writeCount 37362
41500: writeCount 26943
41504: writeCount 22665
41509: writeCount 7280
41539: writeCount 3995
41571: writeCount 6883
41585: writeCount 7617
41646: writeCount 10569
41747: writeCount 17966
41951: writeCount 37235
42056: writeCount 40806
42074: writeCount 32604
42157: writeCount 21809
42175: writeCount 12550
42282: writeCount 20788
42332: writeCount 17532
42384: writeCount 20976
42406: writeCount 13152
42421: writeCount 8996
42466: writeCount 8299
42482: writeCount 7709
42486: writeCount 6582
42493: writeCount 2956
42525: writeCount 4641
42527: writeCount 4179
42642: writeCount 14881
42643: writeCount 11748
42655: writeCount 13104
42664: writeCount 2172
42684: writeCount 4073
42702: writeCount 4660
42707: writeCount 4290
42715: writeCount 3113
42755: writeCount 5367
42836: writeCount 13153
42903: writeCount 18695
42918: writeCount 16187
42955: writeCount 11797
42980: writeCount 7617
43012: writeCount 9268
43015: writeCount 5997
43081: writeCount 10091
43258: writeCount 24960
43268: writeCount 25628
43328: writeCount 25064
43441: writeCount 19160
43488: writeCount 21876
43494: writeCount 16483
43554: writeCount 11820
43588: writeCount 9970
43637: writeCount 14187
43687: writeCount 13194
43741: writeCount 15731
43885: writeCount 24476
43923: writeCount 23198
43945: writeCount 20688
43954: writeCount 7455
43967: writeCount 4373
43979: writeCount 3387
43984: writeCount 2993
44014: writeCount 4732
44098: writeCount 12293
44112: writeCount 12940
44115: writeCount 10190
44180: writeCount 8234
44321: writeCount 20842
44396: writeCount 28212
44432: writeCount 25234
44491: writeCount 17183
44509: writeCount 11307
44514: writeCount 8544
44526: writeCount 3447
44536: writeCount 2988
44597: writeCount 8333
44686: writeCount 16000
44692: writeCount 15568
44813: writeCount 21467
44823: writeCount 13630
44872: writeCount 18317
44888: writeCount 7893
44928: writeCount 10421
44949: writeCount 8384
44989: writeCount 10113
45009: writeCount 8205
45115: writeCount 16722
45147: writeCount 15914
45214: writeCount 20537
45220: writeCount 10465
45352: writeCount 20612
45370: writeCount 15786
45372: writeCount 15738
45411: writeCount 6326
45432: writeCount 6144
45469: writeCount 10413
45488: writeCount 7752
45504: writeCount 7267
45537: writeCount 6681
45609: writeCount 11953
45663: writeCount 15731
45713: writeCount 17615
45785: writeCount 17650
45797: writeCount 13449
45805: writeCount 9151
45840: writeCount 5625
45856: writeCount 6082
45898: writeCount 9443
45902: writeCount 6169
45991: writeCount 13686
46010: writeCount 11387
46047: writeCount 14297
46084: writeCount 9163
46103: writeCount 9245
46109: writeCount 6458
46153: writeCount 6859
46161: writeCount 6002
46172: writeCount 6267
46246: writeCount 9477
46270: writeCount 11027
46355: writeCount 18290
46429: writeCount 18174
46481: writeCount 21070
46588: writeCount 23401
46609: writeCount 18080
46658: writeCount 18301
46679: writeCount 9700
46767: writeCount 15838
46878: writeCount 21965
46887: writeCount 21520
46893: writeCount 13088
46989: writeCount 11017
46997: writeCount 10937
47101: writeCount 21503
47123: writeCount 13342
47130: writeCount 13180
47233: writeCount 13280
47249: writeCount 12745
47357: writeCount 22894
47397: writeCount 16458
47462: writeCount 21922
47486: writeCount 13025
47502: writeCount 11225
47596: writeCount 14367
47609: writeCount 13055
47672: writeCount 17210
47740: writeCount 14510
47812: writeCount 21091
47853: writeCount 18305
47855: writeCount 11680
47885: writeCount 7296
47936: writeCount 8354
47978: writeCount 12404
48039: writeCount 15955
48085: writeCount 15066
48108: writeCount 13154
48210: writeCount 17161
48264: writeCount 17870
48293: writeCount 18537
48356: writeCount 14723
48487: writeCount 22545
48526: writeCount 24139
48627: writeCount 27046
48705: writeCount 21612
48764: writeCount 24319
48840: writeCount 21292
48873: writeCount 16787
48897: writeCount 13297
48935: writeCount 9440
48952: writeCount 7873
48964: writeCount 6561
48997: writeCount 6156
49023: writeCount 7045
49121: writeCount 15737
49243: writeCount 24824
49261: writeCount 24081
49282: writeCount 16287
49305: writeCount 6181
49442: writeCount 18378
49492: writeCount 21417
49550: writeCount 24316
49607: writeCount 16394
49648: writeCount 15591
49694: writeCount 15331
49750: writeCount 14222
49816: writeCount 16745
49825: writeCount 13196
49922: writeCount 17838
50012: writeCount 19742
50027: writeCount 21192
50037: writeCount 11630
50051: writeCount 3957
50067: writeCount 4167
50106: writeCount 6945
50179: writeCount 13256
50212: writeCount 14577
50291: writeCount 18979
50396: writeCount 21646
50494: writeCount 28141
50514: writeCount 23179
50580: writeCount 18512
50655: writeCount 16180
50665: writeCount 15150
50764: writeCount 18338
50768: writeCount 11302
50774: writeCount 10932
50781: writeCount 1768
50811: writeCount 4369
50812: writeCount 3725
50833: writeCount 5221
50845: writeCount 3367
50933: writeCount 12449
50957: writeCount 12411
50990: writeCount 14976
50997: writeCount 6264
51033: writeCount 7614
51034: writeCount 4653
51252: writeCount 25610
51520: writeCount 49230
51560: writeCount 53178
51640: writeCount 39174
51684: writeCount 16304
51763: writeCount 20084
51901: writeCount 26148
51931: writeCount 24738
51966: writeCount 20465
52003: writeCount 10215
52043: writeCount 11616
52091: writeCount 12472
52157: writeCount 15277
52186: writeCount 14585
52190: writeCount 9751
52208: writeCount 5025
52215: writeCount 2863
52286: writeCount 9513
52317: writeCount 10832
52320: writeCount 10677
52410: writeCount 12799
52483: writeCount 16470
52521: writeCount 19993
52522: writeCount 11642
52588: writeCount 10542
52662: writeCount 14135
52723: writeCount 20580
52836: writeCount 24878
52860: writeCount 19853
53033: writeCount 32132
53181: writeCount 34532
53189: writeCount 34501
53212: writeCount 17897
53280: writeCount 9807
53445: writeCount 26049
53469: writeCount 25565
53486: writeCount 21340
53568: writeCount 12562
53575: writeCount 10841
53579: writeCount 9548
53695: writeCount 13236
53783: writeCount 20708
53784: writeCount 20371
53793: writeCount 9638
53837: writeCount 5411
53911: writeCount 12700
53957: writeCount 16463
53965: writeCount 12762
54063: writeCount 15245
54064: writeCount 10727
54156: writeCount 19260
54166: writeCount 11037
54197: writeCount 13498
54244: writeCount 8943
54301: writeCount 13927
54329: writeCount 13716
54336: writeCount 9608
54383: writeCount 8257
54443: writeCount 11487
54536: writeCount 20804
54671: writeCount 28747
54677: writeCount 24032
54682: writeCount 14525
54712: writeCount 4200
54739: writeCount 6340
54877: writeCount 20155
54943: writeCount 23246
55020: writeCount 29243
55040: writeCount 16532
55049: writeCount 10889
55142: writeCount 12187
55294: writeCount 26124
55304: writeCount 25487
55363: writeCount 22339
55400: writeCount 10762
55438: writeCount 14343
55455: writeCount 9666
55578: writeCount 18338
55604: writeCount 16472
55631: writeCount 17831
55699: writeCount 12996
55708: writeCount 10288
55781: writeCount 14869
55815: writeCount 11508
55932: writeCount 22749
55938: writeCount 15655
55971: writeCount 15558
56000: writeCount 6945
56054: writeCount 11889
56097: writeCount 13348
56116: writeCount 11774
56135: writeCount 8115
56225: writeCount 13460
56265: writeCount 15106
56295: writeCount 16261
56299: writeCount 7470
56316: writeCount 5058
56320: writeCount 2421
56340: writeCount 4076
56447: writeCount 13104
56468: writeCount 14801
56606: writeCount 26512
56664: writeCount 21748
56694: writeCount 22622
56739: writeCount 14104
56755: writeCount 9145
56777: writeCount 8359
56780: writeCount 4370
56781: writeCount 2615
56782: writeCount 590
56886: writeCount 10707
56888: writeCount 10809
56909: writeCount 12834
57035: writeCount 15595
57102: writeCount 22043
57142: writeCount 23283
57292: writeCount 26720
57353: writeCount 26439
57377: writeCount 23658
57446: writeCount 16220
57772: writeCount 41506
57783: writeCount 40196
57812: writeCount 36153
57881: writeCount 10816
57908: writeCount 12459
57922: writeCount 10981
57984: writeCount 10722
58025: writeCount 11500
58030: writeCount 10597
58057: writeCount 7174
58115: writeCount 9073
58132: writeCount 10311
58214: writeCount 15836
58234: writeCount 11949
58265: writeCount 13368
58332: writeCount 11837
58368: writeCount 13444
58413: writeCount 15272
58472: writeCount 14051
58480: writeCount 11317
58499: writeCount 8686
58538: writeCount 6543
58555: writeCount 7445
58689: writeCount 18978
58701: writeCount 16364
58703: writeCount 14826
58707: writeCount 2203
58723: writeCount 2215
58751: writeCount 4823
58800: writeCount 9401
58814: writeCount 9489
58883: writeCount 13361
58973: writeCount 17300
59003: writeCount 18857
59082: writeCount 19755
59171: writeCount 19762
59181: writeCount 18298
59186: writeCount 10414
59380: writeCount 20952
59435: writeCount 25512
59445: writeCount 26003
59517: writeCount 13718
59571: writeCount 13521
59602: writeCount 15603
59719: writeCount 20743
59768: writeCount 20342
59801: writeCount 19787
59805: writeCount 8586
59890: writeCount 12481
59918: writeCount 12031
59987: writeCount 18458
60028: writeCount 13784
60078: writeCount 16021
60205: writeCount 21920
60224: writeCount 19744
60319: writeCount 24726
60337: writeCount 13149
60346: writeCount 12111
60412: writeCount 9755
60444: writeCount 10816
60538: writeCount 18861
60546: writeCount 13124
60869: writeCount 42333
60910: writeCount 37112
60940: writeCount 39320
61049: writeCount 19175
61071: writeCount 16041
61128: writeCount 18665
61148: writeCount 10479
61177: writeCount 11175
61199: writeCount 7163
61248: writeCount 10575
61322: writeCount 14513
61365: writeCount 16597
61366: writeCount 11740
61373: writeCount 5169
61388: writeCount 2460
