/usr/lib/jdk1.8.0_111/bin/java -Didea.launcher.port=7538 -Didea.launcher.bin.path=/home/centos/Downloads/idea-IC-163.10154.41/bin -Dfile.encoding=UTF-8 -classpath /usr/lib/jdk1.8.0_111/jre/lib/charsets.jar:/usr/lib/jdk1.8.0_111/jre/lib/deploy.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/cldrdata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/dnsns.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jaccess.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jfxrt.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/localedata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/nashorn.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunec.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunjce_provider.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunpkcs11.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/zipfs.jar:/usr/lib/jdk1.8.0_111/jre/lib/javaws.jar:/usr/lib/jdk1.8.0_111/jre/lib/jce.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfr.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfxswt.jar:/usr/lib/jdk1.8.0_111/jre/lib/jsse.jar:/usr/lib/jdk1.8.0_111/jre/lib/management-agent.jar:/usr/lib/jdk1.8.0_111/jre/lib/plugin.jar:/usr/lib/jdk1.8.0_111/jre/lib/resources.jar:/usr/lib/jdk1.8.0_111/jre/lib/rt.jar:/home/centos/IdeaProjects/Verk1/out/production/Verk1:/home/centos/.ivy2/cache/org.scala-lang/scala-library/jars/scala-library-2.12.1.jar:/home/centos/.ivy2/cache/org.scala-lang/scala-reflect/jars/scala-reflect-2.12.1.jar:/home/centos/Downloads/idea-IC-163.10154.41/lib/idea_rt.jar com.intellij.rt.execution.application.AppMain Main -s 1000 -e 100000 -n 3 -w 10000000 -i 500 -sm 3000
Parameters: S: 1000 , E: 100000 , N: 3 , W: 10000000 , I:500 , Sm: 3000
Resetting counter between each W random write operations
---------------------
---------------------
Testing writes by finger table
NetworkSize: 1001
34630: writeCount 3591
34679: writeCount 6392
34879: writeCount 25612
34931: writeCount 30516
35027: writeCount 35335
35078: writeCount 19852
35130: writeCount 19844
35225: writeCount 19455
35275: writeCount 19522
35495: writeCount 36332
35520: writeCount 29564
35693: writeCount 41880
35697: writeCount 20276
35808: writeCount 28957
35875: writeCount 18273
36081: writeCount 38566
36092: writeCount 28433
36262: writeCount 38747
36388: writeCount 30744
36479: writeCount 38826
36497: writeCount 23654
36895: writeCount 50648
37038: writeCount 55635
37222: writeCount 71877
37278: writeCount 37876
37375: writeCount 33314
37497: writeCount 27500
37657: writeCount 37890
37680: writeCount 30638
37687: writeCount 19145
37729: writeCount 7247
37790: writeCount 10916
37830: writeCount 14304
37833: writeCount 10406
37911: writeCount 12243
37998: writeCount 16886
38197: writeCount 36495
38254: writeCount 34497
38363: writeCount 36517
38540: writeCount 34396
38649: writeCount 39569
38662: writeCount 30071
38776: writeCount 23702
39322: writeCount 66896
39436: writeCount 76806
39468: writeCount 68639
39547: writeCount 22332
39612: writeCount 17526
40180: writeCount 70975
40307: writeCount 75729
40323: writeCount 70954
40425: writeCount 24435
40482: writeCount 17427
40496: writeCount 17167
40645: writeCount 21855
40742: writeCount 26030
40927: writeCount 43108
41227: writeCount 58068
41275: writeCount 53091
41500: writeCount 56916
41504: writeCount 27464
41539: writeCount 26109
41585: writeCount 8447
41646: writeCount 14244
42074: writeCount 54097
42384: writeCount 80445
42421: writeCount 78059
42482: writeCount 40833
42486: writeCount 10281
42527: writeCount 10702
42642: writeCount 16027
42643: writeCount 15729
42684: writeCount 15549
42707: writeCount 6438
42755: writeCount 11089
42918: writeCount 23526
42980: writeCount 27465
43081: writeCount 32667
43258: writeCount 33753
43268: writeCount 28524
43328: writeCount 24532
43488: writeCount 22906
43494: writeCount 22529
43637: writeCount 30727
43923: writeCount 43473
43967: writeCount 47192
43979: writeCount 34234
43984: writeCount 6092
44014: writeCount 4628
44115: writeCount 13413
44321: writeCount 33615
44432: writeCount 41785
44491: writeCount 37787
44509: writeCount 18875
44692: writeCount 26401
44823: writeCount 33613
44928: writeCount 42358
44989: writeCount 29810
45009: writeCount 18657
45115: writeCount 18746
45147: writeCount 15946
45220: writeCount 21287
45432: writeCount 31848
45488: writeCount 34183
45504: writeCount 28353
45609: writeCount 17703
45663: writeCount 17377
45713: writeCount 20938
45797: writeCount 18959
45805: writeCount 14520
45840: writeCount 12915
45902: writeCount 10513
46047: writeCount 24078
46103: writeCount 26202
46153: writeCount 25077
46172: writeCount 12589
46246: writeCount 14367
46270: writeCount 11650
46429: writeCount 25558
46481: writeCount 23415
46588: writeCount 31635
46609: writeCount 17867
46989: writeCount 50630
46997: writeCount 40880
47123: writeCount 51431
47233: writeCount 24348
47357: writeCount 35976
47397: writeCount 27391
47486: writeCount 25277
47740: writeCount 38530
47853: writeCount 45849
47855: writeCount 37208
47885: writeCount 14472
47936: writeCount 8256
47978: writeCount 12239
48085: writeCount 20053
48293: writeCount 35904
48487: writeCount 51328
48627: writeCount 54660
48840: writeCount 55193
48897: writeCount 41277
